# Atomic Line List version: 3.00b3   Constructed: 2021-05-04 10:19 GMT
# Wavelength range: 3800 - 7000   Unit: Angstrom   Type: Air
# Radial velocity: 0 km/s
# Wavelength accuracy upper limit: 5%
# Element/Spectrum: H  I, He I-II, O  I-IV, C  I-IV, N  I-V, Si I-IV, Mg I-IV, S  I-IV, Ne I-IV, Ar I-IV
# Minimum line strength: no restrictions
# Include lines without atomic data: true
# Minimum abundance: no minimum
# Lower level energy range: no restrictions   Unit: cm^-1
# Upper level energy range: no restrictions
# Maximum for principal quantum number n: no restrictions
# Transition types included: nebular
# Transitions from auto-ionizing levels: included
# Comment code: Em -> observed in emission
# REFERENCE PAPER: https://ui.adsabs.harvard.edu/abs/2004MNRAS.355..229E/abstract

wl_air	   , dlamb  , spc     , tt, configuration  , term   , J_i-J_k           , -lg(gf) , tpf, level_energy(cm-1)   , ref    ,  name, comment
4931.227   , 1.5e-02, [O III] , E2, 2s2.2p2-2s2.2p2,  3P-1D ,       0 - 2       , -13.3730,  12,      0.00 -  20273.27, 039    ,      ,
4958.911   , 1.6e-02, [O III] , M1, 2s2.2p2-2s2.2p2,  3P-1D ,       1 - 2       ,  -9.8924,  12,    113.18 -  20273.27, 039    ,      , Em
4958.911   , 1.6e-02, [O III] , E2, 2s2.2p2-2s2.2p2,  3P-1D ,       1 - 2       , -13.0644,  12,    113.18 -  20273.27, 039    ,      , Em
5006.843   , 1.6e-02, [O III] , M1, 2s2.2p2-2s2.2p2,  3P-1D ,       2 - 2       ,  -9.4194,  12,    306.17 -  20273.27, 039    ,      , Em
5006.843   , 1.6e-02, [O III] , E2, 2s2.2p2-2s2.2p2,  3P-1D ,       2 - 2       , -12.1359,  12,    306.17 -  20273.27, 039    ,      , Em
5015.677980, 2.1e-06,  He I   , E1,   1s.2s-1s.3p  ,  1S-1Po,       0 - 1       ,  -0.8190,  31, 166277.44 - 186209.36, 112    ,      ,
5047.738543, 5.4e-06,  He I   , E1,   1s.2p-1s.4s  , 1Po-1S ,       1 - 0       ,  -1.5871,  31, 171134.90 - 190940.23, 112    ,      ,
5191.82    , 2.4e-01, [Ar III], E2, 3s2.3p4-3s2.3p4,  1D-1S ,       2 - 0       ,  -7.9019, ASD,  14010.00 -  33265.70, 069    ,      ,
5197.9016  , 2.4e-03, [N I]   , M1, 2s2.2p3-2s2.2p3, 4So-2Do,     3/2 - 3/2     , -12.5874,  15,      0.00 -  19233.18, ASD    ,      ,
5197.9016  , 2.4e-03, [N I]   , E2, 2s2.2p3-2s2.2p3, 4So-2Do,     3/2 - 3/2     , -13.1526,  15,      0.00 -  19233.18, ASD    ,      ,
